first_name,last_name
donald john,trump
mike dennis,rogers
gary james,palmer
jerry l,carl
barry,moore
dale,strong
robert,aderholt
aumua amata coleman,radewagen
paul,gosar
david,schweikert
andrew s,biggs
debbie,lesko
juan,ciscomani
eli,crane
rick,crawford
steve,womack
french,hill
bruce eugene,westerman
darrell,issa
kevin,mccarthy
tom,mcclintock
doug,lamalfa
david g,valadao
mike,garcia
young,kim
jay,obernolte
michelle,steel
john,duarte
kevin,kiley
ken,calvert
doug,lamborn
kenneth robert,buck
lauren,boebert
mario,diazbalart
vernon g,buchanan
gus,bilirakis
bill,posey
daniel a,webster
neal patrick,dunn
matthew l ii,gaetz
brian jeffery,mast
john henry,rutherford
william,steube
michael,waltz
kat,cammack
byron,donalds
c scott,franklin
carlos a,gimenez
maria elvira,salazar
aaron,bean
laurel,lee
anna,luna
cory,mills
austin,scott
buddy,carter
barry d,loudermilk
rick w,allen
anderson drew iv,ferguson
andrew s,clyde
marjorie taylor,greene
mike,collins
rich,mccormick
james,moylan
russell,fulcher
michael k,simpson
mike,bost
darin,lahood
mary e,miller
larry,bucshon
james e,banks
james,baird
gregory,pence
victoria,spartz
rudy iii,yakym
erin,houchin
randy,feenstra
ashley,hinson
mariannette,millermeeks
zach,nunn
ron,estes
jake,laturner
tracey,mann
harold dallas hal,rogers
brett,guthrie
garland h andy iv,barr
james,comer
thomas,massie
steve,scalise
garret,graves
clay,higgins
mike,johnson
julia,letlow
andy,harris
tim,walberg
bill,huizenga
john,moolenaar
john,bergman
lisa c,mcclain
john,james
thomas earl ii,emmer
peter,stauber
michelle,fischbach
brad,finstad
trent,kelly
michael,guest
mike,ezell
samuel,graves
blaine,luetkemeyer
ann,wagner
jason,smith
mark,alford
eric,burlison
ryan,zinke
matthew m sr,rosendale
adrian,smith
donald j,bacon
mike,flood
mark e,amodei
christopher henry,smith
thomas,kean
jefferson,van drew
elise m,stefanik
claudia,tenney
andrew r,garbarino
nicole,malliotakis
anthony,d esposito
nicholas,lalota
nick,langworthy
michael,lawler
marcus,molinaro
george,santos
brandon,williams
virginia ann,foxx
patrick t,mchenry
richard,hudson
david,rouzer
dan,bishop
gregory francis,murphy
chuck,edwards
kelly,armstrong
michael r,turner
jim,jordan
robert e,latta
bill,johnson
brad,wenstrup
david,joyce
warren,davidson
troy,balderson
mike,carey
max,miller
tom,cole
kevin,hern
stephanie i,bice
josh,brecheen
frank d,lucas
cliff,bentz
lori,chavezderemer
glenn,thompson
mike,kelly
scott,perry
brian k,fitzpatrick
lloyd k,smucker
john,joyce
dan,meuser
guy,reschenthaler
jenniffer,gonzlezclon
addison graves joe,wilson
jeff,duncan
ralph,norman
william,timmons
nancy,mace
russell,fry
dustin,johnson
chuck,fleischmann
scott,desjarlais
david,kustoff
timothy,burchett
mark,green
john,rose
diana,harshbarger
andy,ogles
michael c,burgess
john r,carter
michael t,mccaul
randy,weber
roger,williams
brian,babin
jodey cook,arrington
michael,cloud
daniel,crenshaw
lance,gooden
charles,roy
pat,fallon
tony,gonzales
ronny,jackson
troy e,nehls
august,pfluger
beth,van duyne
jake,ellzey
monica,de la cruz
wesley,hunt
morgan,luttrell
nathaniel,moran
keith,self
pete,sessions
kay,granger
chris,stewart
john r,curtis
blake d,moore
burgess,owens
celeste,maloy
robert j,wittman
h morgan,griffith
benjamin,cline
bob,good
jennifer,kiggans
cathy,mcmorris rodgers
daniel milton,newhouse
alex x,mooney
carol,miller
glenn,grothman
michael,gallagher
bryan,steil
thomas p,tiffany
scott,fitzgerald
derrick,van orden
harriet,hageman
thomas hawley tommy,tuberville
katie elizabeth,britt
lisa,murkowski
daniel scott,sullivan
john,boozman
tom,cotton
marco,rubio
richard lynn rick,scott
michael dean,crapo
james,risch
todd,young
michael,braun
charles ernest,grassley
joni,ernst
roger wayne,marshall
jerry,moran
addison mitchell mitch,mcconnell
rand,paul
bill,cassidy
john neely,kennedy
susan margaret,collins
roger f,wicker
cindy,hydesmith
joshua david,hawley
eric stephen,schmitt
steve,daines
debra deb,fischer
john peter pete,ricketts
theodore paul,budd
thomas roland thom,tillis
kevin,cramer
john,hoeven
james david,vance
james,lankford
markwayne,mullin
tim,scott
lindsey o,graham
john,thune
marion michael mike,rounds
marsha,blackburn
william francis bill,hagerty
john,cornyn
rafael edward ted,cruz
mike,lee
willard mitt mitt,romney
shelley moore,capito
ron,johnson
cynthia m,lummis
john a,barrasso
